shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
203_0_1_shp,41.16144,-8.58192,1
203_0_1_shp,41.16152,-8.58192,2
203_0_1_shp,41.16163,-8.58186,3
203_0_1_shp,41.16181,-8.58185,4
203_0_1_shp,41.16201,-8.58187,5
203_0_1_shp,41.16208,-8.58189,6
203_0_1_shp,41.1622,-8.58193,7
203_0_1_shp,41.16238,-8.58205,8
203_0_1_shp,41.16248,-8.58212,9
203_0_1_shp,41.16257,-8.5822,10
203_0_1_shp,41.16259,-8.58222,11
203_0_1_shp,41.16261,-8.58224,12
203_0_1_shp,41.16265,-8.58228,13
203_0_1_shp,41.16273,-8.58236,14
203_0_1_shp,41.16283,-8.58251,15
203_0_1_shp,41.16293,-8.58266,16
203_0_1_shp,41.16298,-8.58278,17
203_0_1_shp,41.163,-8.58284,18
203_0_1_shp,41.16303,-8.58291,19
203_0_1_shp,41.16305,-8.58297,20
203_0_1_shp,41.16306,-8.58301,21
203_0_1_shp,41.16309,-8.58311,22
203_0_1_shp,41.16311,-8.58319,23
203_0_1_shp,41.16312,-8.58325,24
203_0_1_shp,41.16313,-8.58332,25
203_0_1_shp,41.16314,-8.5834,26
203_0_1_shp,41.16314,-8.58347,27
203_0_1_shp,41.16315,-8.58351,28
203_0_1_shp,41.16315,-8.58355,29
203_0_1_shp,41.16315,-8.58359,30
203_0_1_shp,41.16315,-8.58367,31
203_0_1_shp,41.16315,-8.58373,32
203_0_1_shp,41.16315,-8.58379,33
203_0_1_shp,41.16319,-8.58397,34
203_0_1_shp,41.16307,-8.58433,35
203_0_1_shp,41.16304,-8.58444,36
203_0_1_shp,41.16301,-8.58449,37
203_0_1_shp,41.16293,-8.58468,38
203_0_1_shp,41.16292,-8.58472,39
203_0_1_shp,41.16291,-8.58475,40
203_0_1_shp,41.16291,-8.58478,41
203_0_1_shp,41.1629,-8.58482,42
203_0_1_shp,41.1629,-8.58485,43
203_0_1_shp,41.1629,-8.58488,44
203_0_1_shp,41.16289,-8.58491,45
203_0_1_shp,41.16289,-8.58494,46
203_0_1_shp,41.16289,-8.58498,47
203_0_1_shp,41.16289,-8.58501,48
203_0_1_shp,41.1629,-8.58504,49
203_0_1_shp,41.1629,-8.58507,50
203_0_1_shp,41.16291,-8.58511,51
203_0_1_shp,41.16291,-8.58514,52
203_0_1_shp,41.16292,-8.58517,53
203_0_1_shp,41.16293,-8.5852,54
203_0_1_shp,41.16295,-8.58527,55
203_0_1_shp,41.16297,-8.58534,56
203_0_1_shp,41.16297,-8.58535,57
203_0_1_shp,41.16301,-8.58546,58
203_0_1_shp,41.16302,-8.5855,59
203_0_1_shp,41.16304,-8.58556,60
203_0_1_shp,41.16308,-8.5857,61
203_0_1_shp,41.16311,-8.58579,62
203_0_1_shp,41.16315,-8.58593,63
203_0_1_shp,41.16318,-8.586,64
203_0_1_shp,41.16321,-8.58613,65
203_0_1_shp,41.16327,-8.58631,66
203_0_1_shp,41.16349,-8.58699,67
203_0_1_shp,41.16353,-8.58711,68
203_0_1_shp,41.16367,-8.58752,69
203_0_1_shp,41.16391,-8.58825,70
203_0_1_shp,41.16405,-8.58865,71
203_0_1_shp,41.16407,-8.58871,72
203_0_1_shp,41.16424,-8.58912,73
203_0_1_shp,41.16427,-8.58923,74
203_0_1_shp,41.16428,-8.58925,75
203_0_1_shp,41.16429,-8.58928,76
203_0_1_shp,41.16429,-8.58929,77
203_0_1_shp,41.1643,-8.58931,78
203_0_1_shp,41.16432,-8.5894,79
203_0_1_shp,41.16396,-8.58973,80
203_0_1_shp,41.16373,-8.58991,81
203_0_1_shp,41.16346,-8.59011,82
203_0_1_shp,41.16311,-8.59039,83
203_0_1_shp,41.16309,-8.59041,84
203_0_1_shp,41.16297,-8.59052,85
203_0_1_shp,41.16289,-8.59058,86
203_0_1_shp,41.16278,-8.59071,87
203_0_1_shp,41.16275,-8.59073,88
203_0_1_shp,41.16264,-8.59087,89
203_0_1_shp,41.16262,-8.59089,90
203_0_1_shp,41.16255,-8.59098,91
203_0_1_shp,41.16237,-8.59112,92
203_0_1_shp,41.16211,-8.59134,93
203_0_1_shp,41.16201,-8.59143,94
203_0_1_shp,41.16196,-8.59148,95
203_0_1_shp,41.16173,-8.59164,96
203_0_1_shp,41.16164,-8.59173,97
203_0_1_shp,41.16155,-8.59179,98
203_0_1_shp,41.1614,-8.59191,99
203_0_1_shp,41.16121,-8.59206,100
203_0_1_shp,41.16098,-8.59227,101
203_0_1_shp,41.16093,-8.59233,102
203_0_1_shp,41.16089,-8.5924,103
203_0_1_shp,41.16086,-8.59248,104
203_0_1_shp,41.16068,-8.59305,105
203_0_1_shp,41.16068,-8.59306,106
203_0_1_shp,41.16053,-8.59348,107
203_0_1_shp,41.16053,-8.59364,108
203_0_1_shp,41.16053,-8.59375,109
203_0_1_shp,41.16054,-8.59378,110
203_0_1_shp,41.16055,-8.59387,111
203_0_1_shp,41.16056,-8.594,112
203_0_1_shp,41.16061,-8.59434,113
203_0_1_shp,41.16065,-8.59467,114
203_0_1_shp,41.16066,-8.59473,115
203_0_1_shp,41.16074,-8.59532,116
203_0_1_shp,41.16076,-8.59551,117
203_0_1_shp,41.16082,-8.59594,118
203_0_1_shp,41.16091,-8.59672,119
203_0_1_shp,41.16099,-8.59722,120
203_0_1_shp,41.16107,-8.59793,121
203_0_1_shp,41.1611,-8.59825,122
203_0_1_shp,41.16127,-8.59957,123
203_0_1_shp,41.16129,-8.59975,124
203_0_1_shp,41.16134,-8.60011,125
203_0_1_shp,41.16137,-8.60027,126
203_0_1_shp,41.16144,-8.60083,127
203_0_1_shp,41.16153,-8.6017,128
203_0_1_shp,41.16155,-8.60182,129
203_0_1_shp,41.16169,-8.60284,130
203_0_1_shp,41.16186,-8.60405,131
203_0_1_shp,41.16191,-8.60442,132
203_0_1_shp,41.162,-8.60524,133
203_0_1_shp,41.162,-8.60534,134
203_0_1_shp,41.16202,-8.60547,135
203_0_1_shp,41.16206,-8.60583,136
203_0_1_shp,41.16209,-8.60603,137
203_0_1_shp,41.1621,-8.60615,138
203_0_1_shp,41.16211,-8.60619,139
203_0_1_shp,41.16213,-8.60636,140
203_0_1_shp,41.16215,-8.60652,141
203_0_1_shp,41.16217,-8.60664,142
203_0_1_shp,41.16219,-8.60683,143
203_0_1_shp,41.1622,-8.60688,144
203_0_1_shp,41.1622,-8.60691,145
203_0_1_shp,41.16221,-8.60693,146
203_0_1_shp,41.16221,-8.60697,147
203_0_1_shp,41.16221,-8.60699,148
203_0_1_shp,41.16222,-8.60703,149
203_0_1_shp,41.16222,-8.60706,150
203_0_1_shp,41.16223,-8.60714,151
203_0_1_shp,41.16224,-8.60722,152
203_0_1_shp,41.16225,-8.6073,153
203_0_1_shp,41.16226,-8.60735,154
203_0_1_shp,41.16228,-8.60755,155
203_0_1_shp,41.16229,-8.60762,156
203_0_1_shp,41.16235,-8.60809,157
203_0_1_shp,41.16235,-8.60814,158
203_0_1_shp,41.16238,-8.60839,159
203_0_1_shp,41.16243,-8.60875,160
203_0_1_shp,41.16248,-8.60923,161
203_0_1_shp,41.16249,-8.60937,162
203_0_1_shp,41.16261,-8.61019,163
203_0_1_shp,41.16265,-8.61051,164
203_0_1_shp,41.16272,-8.61114,165
203_0_1_shp,41.16275,-8.61135,166
203_0_1_shp,41.16283,-8.61198,167
203_0_1_shp,41.16285,-8.61217,168
203_0_1_shp,41.16286,-8.61228,169
203_0_1_shp,41.16289,-8.61249,170
203_0_1_shp,41.1629,-8.61263,171
203_0_1_shp,41.1631,-8.61424,172
203_0_1_shp,41.16319,-8.61484,173
203_0_1_shp,41.16323,-8.61531,174
203_0_1_shp,41.16339,-8.61628,175
203_0_1_shp,41.16353,-8.61744,176
203_0_1_shp,41.16365,-8.61847,177
203_0_1_shp,41.16375,-8.61928,178
203_0_1_shp,41.16378,-8.61945,179
203_0_1_shp,41.16381,-8.61962,180
203_0_1_shp,41.16383,-8.61982,181
203_0_1_shp,41.16387,-8.62021,182
203_0_1_shp,41.16392,-8.62068,183
203_0_1_shp,41.16396,-8.62107,184
203_0_1_shp,41.16399,-8.62129,185
203_0_1_shp,41.164,-8.62138,186
203_0_1_shp,41.16405,-8.62169,187
203_0_1_shp,41.16414,-8.62241,188
203_0_1_shp,41.16424,-8.6232,189
203_0_1_shp,41.16434,-8.62414,190
203_0_1_shp,41.16436,-8.62426,191
203_0_1_shp,41.16444,-8.62485,192
203_0_1_shp,41.16452,-8.62549,193
203_0_1_shp,41.16455,-8.62572,194
203_0_1_shp,41.1646,-8.62615,195
203_0_1_shp,41.16471,-8.62709,196
203_0_1_shp,41.1648,-8.62777,197
203_0_1_shp,41.16481,-8.62783,198
203_0_1_shp,41.16486,-8.62819,199
203_0_1_shp,41.16489,-8.6284,200
203_0_1_shp,41.16505,-8.62969,201
203_0_1_shp,41.1651,-8.63014,202
203_0_1_shp,41.16511,-8.63027,203
203_0_1_shp,41.16511,-8.63043,204
203_0_1_shp,41.16508,-8.63071,205
203_0_1_shp,41.16503,-8.63082,206
203_0_1_shp,41.16499,-8.63094,207
203_0_1_shp,41.16486,-8.63125,208
203_0_1_shp,41.16463,-8.63176,209
203_0_1_shp,41.16451,-8.63198,210
203_0_1_shp,41.16446,-8.63204,211
203_0_1_shp,41.16436,-8.63222,212
203_0_1_shp,41.16426,-8.63244,213
203_0_1_shp,41.16422,-8.63254,214
203_0_1_shp,41.16418,-8.63264,215
203_0_1_shp,41.16409,-8.63271,216
203_0_1_shp,41.16402,-8.63286,217
203_0_1_shp,41.1639,-8.63314,218
203_0_1_shp,41.16387,-8.63322,219
203_0_1_shp,41.16384,-8.6333,220
203_0_1_shp,41.16383,-8.63331,221
203_0_1_shp,41.16382,-8.63333,222
203_0_1_shp,41.16381,-8.63337,223
203_0_1_shp,41.1638,-8.63337,224
203_0_1_shp,41.16378,-8.63342,225
203_0_1_shp,41.16371,-8.63357,226
203_0_1_shp,41.16369,-8.63359,227
203_0_1_shp,41.16368,-8.6336,228
203_0_1_shp,41.16367,-8.63362,229
203_0_1_shp,41.16365,-8.63363,230
203_0_1_shp,41.16363,-8.63364,231
203_0_1_shp,41.16361,-8.63364,232
